TIME,NOME,POSICAO,ALTURA,PESO,IDADE
AMERICA-MG,AIRTON,GOLEIRO,1.88,87,27
AMERICA-MG,LEO LANG,GOLEIRO,1.68,58,23
AMERICA-MG,ROBSON LUIZ,GOLEIRO,1.88,77,21
AMERICA-MG,MATHEUS CAVICHIOLI,GOLEIRO,1.93,102,35
AMERICA-MG,JORI,GOLEIRO,1.91,87,26
AMERICA-MG,EDUARDO,DEFENSOR,1.73,73,35
AMERICA-MG,SABINO,DEFENSOR,1.80,,22
AMERICA-MG,LUCAS LUAN,DEFENSOR,1.83,,22
AMERICA-MG,ZE VICTOR,DEFENSOR,1.88,96,21
AMERICA-MG,VICTOR HUGO,DEFENSOR,1.75,,20
AMERICA-MG,DIEGO FERREIRA,DEFENSOR,1.75,68,26
AMERICA-MG,EDUARDO GABRIEL,DEFENSOR,1.85,76,26
AMERICA-MG,ANDERSON JESUS,DEFENSOR,1.85,71,27
AMERICA-MG,ALAN RUSCHEL,DEFENSOR,1.75,73,32
AMERICA-MG,JOAO PAULO,DEFENSOR,1.70,71,35
AMERICA-MG,LUCAS KAL,DEFENSOR,1.85,78,26
AMERICA-MG,PATRIC,DEFENSOR,1.73,78,33
AMERICA-MG,RICARDO SILVA,DEFENSOR,1.91,78,29
AMERICA-MG,RAMON,MEIO CAMPO,1.75,68,24
AMERICA-MG,GUSTAVINHO,MEIO CAMPO,1.75,59,20
AMERICA-MG,LUCAS GABIREL,MEIO CAMPO,1.70,,20
AMERICA-MG,ZE RICARDO,MEIO CAMPO,1.75,73,26
AMERICA-MG,JUNINHO,MEIO CAMPO,1.70,66,34
AMERICA-MG,BRUNO NAZARIO,MEIO CAMPO,1.78,73,27
AMERICA-MG,ALE,MEIO CAMPO,1.83,73,31
AMERICA-MG,ISAQUE ELIAS,MEIO CAMPO,1.78,73,25
AMERICA-MG,JUNINHO VALOURA,MEIO CAMPO,1.73,73,36
AMERICA-MG,LUIZ FERNANDO,ATACANTE,1.73,63,22
AMERICA-MG,GEOVANE,ATACANTE,1.73,68,23
AMERICA-MG,LEANDRO CARVALHO,ATACANTE,1.73,63,26
AMERICA-MG,CARLOS ALBERTO,ATACANTE,1.80,83,20
AMERICA-MG,KAWE,ATACANTE,1.78,73,19
AMERICA-MG,RIBAMAR,ATACANTE,1.83,81,24
AMERICA-MG,RODOLFO,ATACANTE,1.83,83,29
AMERICA-MG,ADERMIR SANTOS,ATACANTE,1.73,,27
AMERICA-MG,FELIPE AZEVEDO,ATACANTE,1.73,82,31
AMERICA-MG,FABRICIO DANIEL,ATACANTE,1.83,73,24
AMERICA-MG,CHRIGOR,ATACANTE,1.83,63,21
AMERICA-MG,LEO PASSOS,ATACANTE,1.83,77,23
AMERICA-MG,ORLANDO BERRIO,ATACANTE,1.80,76,31
AMERICA-MG,MARLON,ATACANTE,1.73,66,26
AMERICA-MG,YAN,ATACANTE,1.73,76,24
AMERICA-MG,MARCELO TOSCANO,ATACANTE,1.83,73,36
AMERICA-MG,MAURO ZARATE,ATACANTE,1.75,76,35
ATHLETICO-PR,MYCAEL,GOLEIRO,1.91,83,18
ATHLETICO-PR,SANTOS,GOLEIRO,1.93,82,32
ATHLETICO-PR,LEONARDO MATIAS,GOLEIRO,1.96,87,21
ATHLETICO-PR,ANDERSON,GOLEIRO,1.91,97,24
ATHLETICO-PR,BENTO,GOLEIRO,1.91,91,22
ATHLETICO-PR,MATHEUS PIAUI,DEFENSOR,1.93,88,23
ATHLETICO-PR,NICOLAS HERNANDEZ,DEFENSOR,1.83,73,24
ATHLETICO-PR,VIALLE,DEFENSOR,1.83,83,19
ATHLETICO-PR,MARCINHO,DEFENSOR,1.78,76,25
ATHLETICO-PR,MARCIO AZEVEDO,DEFENSOR,1.73,78,36
ATHLETICO-PR,NICOLAS,DEFENSOR,1.75,68,25
ATHLETICO-PR,KHELVEN,DEFENSOR,1.75,68,21
ATHLETICO-PR,ABNER,DEFENSOR,1.83,73,21
ATHLETICO-PR,JANDERSON,DEFENSOR,1.70,76,18
ATHLETICO-PR,LEONARDO ATAEDE,DEFENSOR,1.78,82,25
ATHLETICO-PR,ZE IVALDO,DEFENSOR,1.85,93,20
ATHLETICO-PR,LUAN WIEDTHAUPER,DEFENSOR,1.91,77,19
ATHLETICO-PR,PEDRINHO,DEFENSOR,1.78,63,21
ATHLETICO-PR,LUCALS HALTER,DEFENSOR,1.88,91,26
ATHLETICO-PR,PEDRO HENRIQUE,DEFENSOR,1.88,81,19
ATHLETICO-PR,JOAO PEDRO,DEFENSOR,1.83,73,20
ATHLETICO-PR,LUCAS FASSON,DEFENSOR,1.88,78,19
ATHLETICO-PR,VINIVIUS,DEFENSOR,1.80,78,33
ATHLETICO-PR,THIAGO HELENO,DEFENSOR,1.85,96,23
ATHLETICO-PR,KLEITON,DEFENSOR,1.80,78,18
ATHLETICO-PR,JADER,MEIO CAMPO,1.73,67,41
ATHLETICO-PR,LUCHO GONZALEZ,MEIO CAMPO,1.85,81,29
ATHLETICO-PR,NIKAO,MEIO CAMPO,1.75,83,28
ATHLETICO-PR,LEO CITTADINI,MEIO CAMPO,1.78,68,28
ATHLETICO-PR,RICHARD,MEIO CAMPO,1.91,76,24
ATHLETICO-PR,ERICK,MEIO CAMPO,1.75,67,20
ATHLETICO-PR,IAGO ANDRE,MEIO CAMPO,1.75,73,21
ATHLETICO-PR,EDUARDO SCHEIT,MEIO CAMPO,1.78,68,22
ATHLETICO-PR,ELIAS CARIOCA,MEIO CAMPO,1.85,78,20
ATHLETICO-PR,PIERRE,MEIO CAMPO,1.83,68,19
ATHLETICO-PR,LUIZ FERNANDO,MEIO CAMPO,1.78,63,30
ATHLETICO-PR,FERNANDO CANESIN,MEIO CAMPO,1.75,68,20
ATHLETICO-PR,KAWAN,MEIO CAMPO,1.80,73,21
ATHLETICO-PR,CHRISTIAN,MEIO CAMPO,1.75,72,19
ATHLETICO-PR,JOHN MERCADO,ATACANTE,1.85,83,21
ATHLETICO-PR,JAJA,ATACANTE,1.78,63,17
ATHLETICO-PR,EMERSONN,ATACANTE,,,20
ATHLETICO-PR,ROMULO,ATACANTE,1.93,78,24
ATHLETICO-PR,BISSOLI,ATACANTE,1.80,78,21
ATHLETICO-PR,MATHEUS BABI,ATACANTE,1.91,78,24
ATHLETICO-PR,JULIMAR,ATACANTE,1.88,86,21
ATHLETICO-PR,PEDRO ROCHA,ATACANTE,1.80,73,27
ATHLETICO-PR,VINIVIUS MINGOTTI,ATACANTE,1.83,78,22
ATHLETICO-PR,RENAN,ATACANTE,1.88,86,19
ATHLETICO-PR,DANIEL,ATACANTE,1.80,91,21
ATHLETICO-PR,BRUNO LEITE,ATACANTE,1.78,78,22
ATHLETICO-PR,RENATO KAYSER,ATACANTE,1.78,68,26
ATHLETICO-PR,TERANS,ATACANTE,1.73,68,27
ATHLETICO-PR,CARLOS EDUARDO,ATACANTE,1.75,72,25
ATLETICO-GO,MAURICIO KOZLINSKI,GOLEIRO,1.91,92,30
ATLETICO-GO,LUAN POLI,GOLEIRO,1.88,86,29
ATLETICO-GO,FERNANDO MIGUEL,GOLEIRO,1.91,92,37
ATLETICO-GO,LEONARDO SIQUEIRA,GOLEIRO,1.93,87,25
